ID,DATE_,SEQID,CITY,CITY2,_1DOSE,_2DOSE,_TOTAL,POPULATION,DIFF_1DOSE,DIFF_2DOSE,DIFF_TOTAL,PREVID
438102,26/6/2021 22:41,5412,Adana,Adana,784464,355404,1139868,2258718,15,0,15,438021
438103,26/6/2021 22:41,5412,Adıyaman,Adiyaman,170847,77955,248802,632459,2,0,2,438022
438104,26/6/2021 22:41,5412,Afyonkarahisar,Afyon,292611,138934,431545,736912,8,0,8,438023
438105,26/6/2021 22:41,5412,A?rı,Agri,94807,41146,135953,535435,0,0,0,438024
438106,26/6/2021 22:41,5412,Aksaray,Aksaray,131889,62603,194492,423011,3,0,3,438025
438107,26/6/2021 22:41,5412,Amasya,Amasya,169285,87322,256607,335494,1,0,1,438026
438108,26/6/2021 22:41,5412,Ankara,Ankara,2652085,1241906,3893991,5663322,91,6,97,438027
438109,26/6/2021 22:41,5412,Antalya,Antalya,1055350,530415,1585765,2548308,29,4,33,438028
438110,26/6/2021 22:41,5412,Ardahan,Ardahan,34629,18642,53271,96161,0,0,0,438029
438111,26/6/2021 22:41,5412,Artvin,Artvin,80554,43132,123686,169501,0,0,0,438030
438112,26/6/2021 22:41,5412,Aydın,Aydin,555807,293208,849015,1119084,10,0,10,438031
438113,26/6/2021 22:41,5412,Balıkesir,Balikesir,661424,359073,1020497,1240285,18,1,19,438032
438114,26/6/2021 22:41,5412,Bartın,Bartin,96816,49086,145902,198979,0,0,0,438033
438115,26/6/2021 22:41,5412,Batman,Batman,108989,48556,157545,620278,1,0,1,438034
438116,26/6/2021 22:41,5412,Bayburt,Bayburt,24128,13155,37283,81910,0,0,0,438035
438117,26/6/2021 22:41,5412,Bilecik,Bilecik,108385,49145,157530,218717,2,0,2,438036
438118,26/6/2021 22:41,5412,Bingöl,Bingol,57366,30771,88137,281768,1,0,1,438037
438119,26/6/2021 22:41,5412,Bitlis,Bitlis,51093,23726,74819,350994,0,0,0,438038
438120,26/6/2021 22:41,5412,Bolu,Bolu,151636,75911,227547,314802,4,0,4,438039
438121,26/6/2021 22:41,5412,Burdur,Burdur,128036,66955,194991,267092,2,0,2,438040
438122,26/6/2021 22:41,5412,Bursa,Bursa,1272038,550539,1822577,3101833,41,4,45,438041
438123,26/6/2021 22:41,5412,Çanakkale,Canakkale,298662,161433,460095,541548,0,0,0,438042
438124,26/6/2021 22:41,5412,Çankırı,Cankiri,81521,45799,127320,192428,1,0,1,438043
438125,26/6/2021 22:41,5412,Çorum,Corum,238440,121891,360331,530126,5,0,5,438044
438126,26/6/2021 22:41,5412,Denizli,Denizli,475605,212478,688083,1040915,12,1,13,438045
438127,26/6/2021 22:41,5412,Diyarbakır,Diyarbakir,307868,134167,442035,1783431,4,0,4,438046
438128,26/6/2021 22:41,5412,Düzce,Duzce,158046,73865,231911,395679,0,0,0,438047
438129,26/6/2021 22:41,5412,Edirne,Edirne,226150,123707,349857,407763,2,1,3,438048
438130,26/6/2021 22:41,5412,Elazı?,Elazig,191848,101103,292951,587960,1,0,1,438049
438131,26/6/2021 22:41,5412,Erzincan,Erzincan,91827,48554,140381,234431,3,0,3,438050
438132,26/6/2021 22:41,5412,Erzurum,Erzurum,212225,106493,318718,758279,4,0,4,438051
438133,26/6/2021 22:41,5412,Eski?ehir,Eskisehir,457620,215045,672665,888828,13,0,13,438052
438134,26/6/2021 22:41,5412,Gaziantep, ,570536,207651,778187,2101157,9,0,9,438053
438135,26/6/2021 22:41,5412,Giresun,Giresun,210905,123826,334731,448721,1,0,1,438054
438136,26/6/2021 22:41,5412,Gümü?hane,Gumushane,41380,24740,66120,141702,0,0,0,438055
438137,26/6/2021 22:41,5412,Hakkari,Hakkari,47078,14102,61180,280514,0,0,0,438056
438138,26/6/2021 22:41,5412,Hatay,Hatay,512074,223365,735439,1659320,0,0,0,438057
438139,26/6/2021 22:41,5412,I?dır,Igdir,43627,21324,64951,201314,1,0,1,438058
438140,26/6/2021 22:41,5412,Isparta,Isparta,205991,107865,313856,440304,0,0,0,438059
438141,26/6/2021 22:41,5412,?stanbul,Istanbul,6197550,2419591,8617141,15462452,193,11,204,438060
438142,26/6/2021 22:41,5412,?zmir,Izmir,2136705,1006223,3142928,4394694,41,4,45,438061
438143,26/6/2021 22:41,5412,Kahramanmara?,Kahramanmaras,336185,149207,485392,1168163,1,0,1,438062
438144,26/6/2021 22:41,5412,Karabük,Karabuk,107924,57241,165165,243614,0,0,0,438063
438145,26/6/2021 22:41,5412,Karaman,Karaman,96204,48437,144641,254919,0,1,1,438064
438146,26/6/2021 22:41,5412,Kars,Kars,81829,37951,119780,284923,0,0,0,438065
438147,26/6/2021 22:41,5412,Kastamonu,Kastamonu,175799,99604,275403,376377,1,0,1,438066
438148,26/6/2021 22:41,5412,Kayseri,Kayseri,534876,250399,785275,1421455,6,0,6,438067
438149,26/6/2021 22:41,5412,Kırıkkale,Kirikkale,114702,60949,175651,278703,0,0,0,438068
438150,26/6/2021 22:41,5412,Kırklareli,Kirklareli,197631,98896,296527,361737,0,0,0,438069
438151,26/6/2021 22:41,5412,Kır?ehir,Kirsehir,106990,54748,161738,243042,0,1,1,438070
438152,26/6/2021 22:41,5412,Kilis,Kilis,43872,18348,62220,142792,0,1,1,438071
438153,26/6/2021 22:41,5412,Kocaeli,Kocaeli,793994,321371,1115365,1997258,21,1,22,438072
438154,26/6/2021 22:41,5412,Konya,Konya,757561,374716,1132277,2250020,15,0,15,438073
438155,26/6/2021 22:41,5412,Kütahya,Kutahya,254612,125308,379920,576688,4,0,4,438074
438156,26/6/2021 22:41,5412,Malatya,Malatya,290096,147223,437319,806156,1,0,1,438075
438157,26/6/2021 22:41,5412,Manisa,Manisa,637609,284045,921654,1450616,18,0,18,438076
438158,26/6/2021 22:41,5412,Mardin,Mardin,124235,53374,177609,854716,1,0,1,438077
438159,26/6/2021 22:41,5412,Mersin,Mersin,730833,349594,1080427,1868757,16,1,17,438078
438160,26/6/2021 22:41,5412,Mu?la,Mugla,578641,286979,865620,1000773,6,0,6,438079
